,x_l,x_m,x_r,w_l,w_m,w_r,xw_l,xw_m,xw_r,m_l,m_m,m_r,y_l,y_m,y_r
998,0.3580585378323108,0.3958716768916155,0.43368481595092023,5,6,7,1.790292689161554,2.375230061349693,3.0357937116564417,0.7114081250249172,0.7154978803705032,0.7195876357160892,0.0588235294117647,0.0588235294117647,0.0588235294117647
999,0.3024139770605494,0.320245398773006,0.3380768204854626,5,6,7,1.512069885302747,1.921472392638036,2.366537743398238,0.7111624190296909,0.7236773910616752,0.7361923630936594,0.088235294117647,0.088235294117647,0.088235294117647
1000,0.22879434515870894,0.2845825553480928,0.34037076553747664,4,5,6,0.9151773806348358,1.422912776740464,2.04222459322486,0.589333846412519,0.6986474469977066,0.8079610475828943,0.088235294117647,0.088235294117647,0.088235294117647
1001,0.16871165644171776,0.1730061349693251,0.17730061349693244,3,4,5,0.5061349693251533,0.6920245398773004,0.8865030674846621,0.8555595423194993,0.917274648168082,0.9789897540166648,0.1470588235294117,0.1470588235294117,0.1470588235294117
1002,0.1608762336623099,0.1644171779141104,0.16795812216591088,3,4,5,0.4826287009869297,0.6576687116564416,0.8397906108295544,0.7519903485645049,0.7938444364709165,0.8356985243773282,0.1176470588235294,0.1176470588235294,0.1176470588235294
1003,0.15504801280341418,0.1573352894105094,0.1596225660176046,2,3,4,0.31009602560682836,0.4720058682315282,0.6384902640704184,0.7395377780551179,0.8775526122837398,1.0155674465123616,0.0294117647058823,0.0294117647058823,0.0294117647058823
1004,0.1187116564417178,0.152760736196319,0.1868098159509202,3,4,5,0.3561349693251534,0.611042944785276,0.9340490797546009,0.40617151058485823,0.601522943826496,0.7968743770681337,0.088235294117647,0.088235294117647,0.088235294117647
1005,0.16008435582822078,0.2208588957055214,0.281633435582822,6,7,8,0.9605061349693247,1.5460122699386498,2.253067484662576,0.9186633709418065,0.9922258103097714,1.0657882496777362,0.0,0.0,0.0
1006,0.3330968813905929,0.3424079754601226,0.35171906952965226,4,5,6,1.3323875255623716,1.712039877300613,2.1103144171779133,0.7728042897580034,0.8451009315738416,0.9173975733896798,0.1470588235294117,0.1470588235294117,0.1470588235294117
1007,0.35074769938650296,0.3610301635991819,0.3713126278118608,1,2,3,0.35074769938650296,0.7220603271983638,1.1139378834355824,0.6803113662640035,0.7005076479421652,0.720703929620327,0.0588235294117647,0.0588235294117647,0.0588235294117647
