"","nsp","hom","cm","my"
"114",4.77777777777778,3.72727272727273,4.71428571428571,3.6
"115",2,1.45454545454545,3,2.7
"116",3.44444444444444,3.09090909090909,4,4.5
"117",3,2,3.28571428571429,3.2
"118",4.22222222222222,2.72727272727273,3.57142857142857,1.6
"119",4,3,3.42857142857143,3.2
"120",4.88888888888889,2.63636363636364,4.71428571428571,3.7
"121",2,3.18181818181818,2.85714285714286,2.7
"122",3.66666666666667,2.27272727272727,2.42857142857143,1.2
"123",3,1.90909090909091,3,3.1
"124",5,3.27272727272727,5,3
"125",4.88888888888889,2.45454545454545,1,3
"126",3.66666666666667,3,4,2.4
"127",3.77777777777778,1,3,1
"128",4.55555555555556,2.72727272727273,4.42857142857143,3.5
"129",5,2.18181818181818,5,1.7
"130",5,1.90909090909091,1.57142857142857,2.5
"131",3.33333333333333,2.36363636363636,4.14285714285714,3.5
"132",2.66666666666667,1.09090909090909,3,1.8
"133",3.11111111111111,3.18181818181818,4.14285714285714,2
"134",3,2.63636363636364,2.57142857142857,1.8
"135",3,3,4,2.4
"136",3.11111111111111,1.45454545454545,4,1
"137",3.88888888888889,3.18181818181818,3.57142857142857,3.4
"138",1,1.36363636363636,4,2.2
"139",3.33333333333333,2.18181818181818,3,3.6
"140",3,2,2.14285714285714,1.6
"141",4.11111111111111,3.27272727272727,3.42857142857143,3.3
"143",3.66666666666667,1.45454545454545,4.57142857142857,2.9
"144",2.66666666666667,2.54545454545455,4,2.4
"145",4.11111111111111,3,4.71428571428571,2.3
"146",2,3.63636363636364,4.14285714285714,3.6
"147",4.88888888888889,3.27272727272727,5,3.2
"148",1,1.54545454545455,5,2.4
"149",5,4.45454545454545,5,1.8
"150",3.44444444444444,3.09090909090909,3.28571428571429,1.2
"151",3.44444444444444,2.09090909090909,3,1.8
"152",3,3,4,3
"153",4.66666666666667,3.36363636363636,4.42857142857143,3
"154",1,2.81818181818182,5,2
"155",2,2.90909090909091,4,2
"156",1,2,4,3
"157",1,1,3.42857142857143,1.8
"158",5,3.36363636363636,5,3
"159",4.66666666666667,1.72727272727273,4,1.6
"160",3.22222222222222,2.27272727272727,5,3.6
"161",1,1.36363636363636,1,1.8
"162",4,3.18181818181818,4,2
"163",3,1.90909090909091,4,1
"164",3,3,3.28571428571429,3
"165",3.66666666666667,3.09090909090909,3.71428571428571,3.4
"166",3.22222222222222,2.09090909090909,4,3.4
"167",3.55555555555556,1.09090909090909,2.57142857142857,2.8
"168",1,1,1,3
"169",3.66666666666667,2.36363636363636,5,1.4
"170",4.88888888888889,2.72727272727273,4.42857142857143,2.7
"171",3.88888888888889,2.18181818181818,4,3
"172",5,3.36363636363636,5,3.2
"173",3.22222222222222,3,2,1.8
"174",2.11111111111111,1.36363636363636,1,1.8
"175",3.11111111111111,3,3,1.8
"176",4,3.09090909090909,2.71428571428571,1.8
"177",3,3,3,1.8
"178",4.55555555555556,2.90909090909091,5,1.4
"179",3.88888888888889,2.72727272727273,4.42857142857143,3.2
"180",3.22222222222222,3.27272727272727,5,2.1
"181",3,2.63636363636364,4.14285714285714,2.9
"182",4.88888888888889,4.18181818181818,4.57142857142857,3.3
"183",4.33333333333333,2.90909090909091,5,2.1
"184",3.44444444444444,2.09090909090909,4.57142857142857,2.3
"185",4.22222222222222,2.45454545454545,4.57142857142857,1.5
"186",1.11111111111111,1.81818181818182,4.42857142857143,4
"187",2.66666666666667,2.27272727272727,3.42857142857143,3.2
"188",4,1.63636363636364,4,2.9
"189",5,3.90909090909091,4.57142857142857,3.4
"190",2.44444444444444,2,4.42857142857143,3.1
